dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
all_datasets	embedding_proba__1	0.1 (0.0)	0.1 (0.0)	0.0 (0.0)	0.1 (0.0)	0.1 (0.0)	0.0 (0.0)	0.1 (0.0)	0.1 (0.0)	0.0 (0.0)	0.5 (0.18)	0.51 (0.44)	0.2 (0.45)	0.61 (0.11)	0.65 (0.3)	0.2 (0.45)	0.49 (0.17)	0.38 (0.31)	0.0 (0.0)	0.41 (0.18)	0.26 (0.22)	0.0 (0.0)	0.53 (0.16)	0.45 (0.36)	0.2 (0.45)	0.6 (0.12)	0.58 (0.33)	0.2 (0.45)	0.49 (0.17)	0.38 (0.31)	0.0 (0.0)	0.43 (0.2)	0.33 (0.28)	0.0 (0.0)	0.52 (0.15)	0.36 (0.29)	0.0 (0.0)	0.63 (0.09)	0.79 (0.23)	0.4 (0.55)	0.65 (0.15)	0.73 (0.27)	0.2 (0.45)	0.47 (0.13)	0.28 (0.22)	0.0 (0.0)	0.64 (0.08)	0.82 (0.17)	0.4 (0.55)	0.57 (0.14)	0.49 (0.34)	0.2 (0.45)	0.45 (0.23)	0.37 (0.34)	0.0 (0.0)	0.44 (0.21)	0.35 (0.3)	0.0 (0.0)	0.45 (0.23)	0.37 (0.34)	0.0 (0.0)
all_datasets	embedding_proba__10	1.0 (0.01)	1.0 (0.0)	1.0 (0.0)	1.0 (0.01)	1.0 (0.0)	1.0 (0.0)	1.0 (0.01)	1.0 (0.0)	1.0 (0.0)	0.48 (0.16)	0.43 (0.28)	0.0 (0.0)	0.42 (0.14)	0.37 (0.27)	0.0 (0.0)	0.44 (0.12)	0.26 (0.18)	0.0 (0.0)	0.43 (0.19)	0.37 (0.25)	0.0 (0.0)	0.4 (0.12)	0.26 (0.2)	0.0 (0.0)	0.45 (0.14)	0.4 (0.32)	0.0 (0.0)	0.44 (0.12)	0.26 (0.18)	0.0 (0.0)	0.44 (0.19)	0.4 (0.28)	0.0 (0.0)	0.41 (0.12)	0.21 (0.11)	0.0 (0.0)	0.5 (0.05)	0.35 (0.16)	0.0 (0.0)	0.47 (0.08)	0.34 (0.23)	0.0 (0.0)	0.41 (0.16)	0.32 (0.3)	0.0 (0.0)	0.47 (0.07)	0.29 (0.1)	0.0 (0.0)	0.45 (0.16)	0.42 (0.32)	0.0 (0.0)	0.44 (0.15)	0.37 (0.16)	0.0 (0.0)	0.44 (0.2)	0.39 (0.31)	0.0 (0.0)	0.44 (0.15)	0.37 (0.16)	0.0 (0.0)
all_datasets	embedding_proba__2	0.22 (0.04)	0.22 (0.04)	0.0 (0.0)	0.22 (0.04)	0.22 (0.04)	0.0 (0.0)	0.2 (0.0)	0.2 (0.0)	0.0 (0.0)	0.59 (0.07)	0.6 (0.12)	0.0 (0.0)	0.62 (0.06)	0.77 (0.14)	0.0 (0.0)	0.59 (0.09)	0.63 (0.25)	0.0 (0.0)	0.56 (0.11)	0.49 (0.25)	0.0 (0.0)	0.62 (0.08)	0.73 (0.2)	0.2 (0.45)	0.61 (0.09)	0.6 (0.23)	0.0 (0.0)	0.59 (0.09)	0.63 (0.25)	0.0 (0.0)	0.55 (0.1)	0.54 (0.25)	0.0 (0.0)	0.61 (0.09)	0.73 (0.22)	0.2 (0.45)	0.57 (0.08)	0.63 (0.33)	0.2 (0.45)	0.61 (0.08)	0.74 (0.22)	0.0 (0.0)	0.55 (0.11)	0.48 (0.29)	0.0 (0.0)	0.65 (0.07)	0.82 (0.24)	0.2 (0.45)	0.6 (0.09)	0.66 (0.2)	0.0 (0.0)	0.59 (0.12)	0.52 (0.23)	0.0 (0.0)	0.56 (0.11)	0.5 (0.27)	0.0 (0.0)	0.59 (0.12)	0.52 (0.23)	0.0 (0.0)
all_datasets	embedding_proba__3	0.28 (0.04)	0.28 (0.04)	0.0 (0.0)	0.28 (0.04)	0.28 (0.04)	0.0 (0.0)	0.3 (0.0)	0.3 (0.0)	0.0 (0.0)	0.61 (0.14)	0.59 (0.39)	0.2 (0.45)	0.65 (0.12)	0.79 (0.16)	0.2 (0.45)	0.58 (0.11)	0.62 (0.27)	0.0 (0.0)	0.59 (0.14)	0.58 (0.32)	0.2 (0.45)	0.6 (0.11)	0.68 (0.25)	0.0 (0.0)	0.66 (0.1)	0.79 (0.27)	0.4 (0.55)	0.58 (0.11)	0.62 (0.27)	0.0 (0.0)	0.59 (0.14)	0.54 (0.34)	0.2 (0.45)	0.6 (0.11)	0.66 (0.3)	0.2 (0.45)	0.57 (0.06)	0.51 (0.27)	0.0 (0.0)	0.55 (0.06)	0.46 (0.23)	0.0 (0.0)	0.59 (0.09)	0.65 (0.25)	0.2 (0.45)	0.57 (0.05)	0.51 (0.24)	0.0 (0.0)	0.69 (0.14)	0.81 (0.21)	0.2 (0.45)	0.62 (0.14)	0.64 (0.34)	0.2 (0.45)	0.6 (0.14)	0.65 (0.36)	0.2 (0.45)	0.62 (0.14)	0.64 (0.34)	0.2 (0.45)
all_datasets	embedding_proba__4	0.4 (0.0)	0.4 (0.0)	0.0 (0.0)	0.4 (0.0)	0.4 (0.0)	0.0 (0.0)	0.4 (0.0)	0.4 (0.0)	0.0 (0.0)	0.58 (0.16)	0.6 (0.37)	0.0 (0.0)	0.54 (0.1)	0.45 (0.3)	0.0 (0.0)	0.62 (0.09)	0.7 (0.31)	0.2 (0.45)	0.6 (0.13)	0.6 (0.36)	0.0 (0.0)	0.61 (0.1)	0.65 (0.32)	0.2 (0.45)	0.54 (0.1)	0.46 (0.3)	0.0 (0.0)	0.62 (0.09)	0.7 (0.31)	0.2 (0.45)	0.6 (0.14)	0.58 (0.35)	0.0 (0.0)	0.6 (0.1)	0.62 (0.33)	0.0 (0.0)	0.55 (0.04)	0.6 (0.15)	0.0 (0.0)	0.56 (0.1)	0.5 (0.32)	0.2 (0.45)	0.61 (0.1)	0.69 (0.3)	0.2 (0.45)	0.58 (0.07)	0.53 (0.27)	0.0 (0.0)	0.56 (0.14)	0.44 (0.28)	0.0 (0.0)	0.61 (0.11)	0.55 (0.32)	0.0 (0.0)	0.6 (0.15)	0.56 (0.36)	0.2 (0.45)	0.61 (0.11)	0.55 (0.32)	0.0 (0.0)
all_datasets	embedding_proba__5	0.5 (0.0)	0.5 (0.0)	0.0 (0.0)	0.5 (0.0)	0.5 (0.0)	0.0 (0.0)	0.5 (0.01)	0.5 (0.0)	0.0 (0.0)	0.64 (0.03)	0.79 (0.19)	0.2 (0.45)	0.59 (0.15)	0.61 (0.37)	0.2 (0.45)	0.67 (0.07)	0.84 (0.19)	0.2 (0.45)	0.72 (0.04)	0.94 (0.07)	0.4 (0.55)	0.65 (0.09)	0.77 (0.19)	0.2 (0.45)	0.6 (0.12)	0.68 (0.29)	0.2 (0.45)	0.67 (0.07)	0.84 (0.19)	0.2 (0.45)	0.73 (0.06)	0.9 (0.22)	0.8 (0.45)	0.67 (0.07)	0.83 (0.21)	0.2 (0.45)	0.52 (0.05)	0.46 (0.25)	0.0 (0.0)	0.54 (0.09)	0.62 (0.3)	0.2 (0.45)	0.66 (0.03)	0.87 (0.08)	0.2 (0.45)	0.53 (0.05)	0.47 (0.14)	0.0 (0.0)	0.6 (0.13)	0.63 (0.26)	0.2 (0.45)	0.69 (0.07)	0.85 (0.22)	0.6 (0.55)	0.7 (0.08)	0.78 (0.26)	0.4 (0.55)	0.69 (0.07)	0.85 (0.22)	0.6 (0.55)
all_datasets	embedding_proba__6	0.6 (0.0)	0.6 (0.0)	0.0 (0.0)	0.6 (0.0)	0.6 (0.0)	0.0 (0.0)	0.6 (0.01)	0.6 (0.0)	0.0 (0.0)	0.59 (0.07)	0.57 (0.07)	0.0 (0.0)	0.52 (0.09)	0.41 (0.17)	0.0 (0.0)	0.58 (0.05)	0.59 (0.17)	0.0 (0.0)	0.63 (0.04)	0.73 (0.14)	0.0 (0.0)	0.6 (0.07)	0.61 (0.19)	0.0 (0.0)	0.54 (0.1)	0.5 (0.24)	0.0 (0.0)	0.58 (0.05)	0.59 (0.17)	0.0 (0.0)	0.62 (0.06)	0.72 (0.17)	0.0 (0.0)	0.58 (0.05)	0.6 (0.07)	0.0 (0.0)	0.56 (0.08)	0.64 (0.31)	0.0 (0.0)	0.52 (0.06)	0.57 (0.29)	0.2 (0.45)	0.61 (0.08)	0.66 (0.22)	0.2 (0.45)	0.55 (0.07)	0.62 (0.26)	0.0 (0.0)	0.54 (0.12)	0.5 (0.31)	0.0 (0.0)	0.62 (0.03)	0.67 (0.1)	0.0 (0.0)	0.63 (0.04)	0.73 (0.17)	0.0 (0.0)	0.62 (0.03)	0.67 (0.1)	0.0 (0.0)
all_datasets	embedding_proba__7	0.7 (0.0)	0.7 (0.0)	0.0 (0.0)	0.7 (0.01)	0.7 (0.0)	0.0 (0.0)	0.7 (0.01)	0.7 (0.0)	0.0 (0.0)	0.47 (0.09)	0.33 (0.12)	0.0 (0.0)	0.55 (0.12)	0.6 (0.29)	0.2 (0.45)	0.51 (0.1)	0.47 (0.25)	0.0 (0.0)	0.47 (0.12)	0.41 (0.19)	0.0 (0.0)	0.51 (0.11)	0.48 (0.24)	0.0 (0.0)	0.51 (0.11)	0.48 (0.28)	0.0 (0.0)	0.51 (0.1)	0.47 (0.25)	0.0 (0.0)	0.48 (0.12)	0.4 (0.27)	0.0 (0.0)	0.51 (0.12)	0.55 (0.28)	0.0 (0.0)	0.57 (0.07)	0.64 (0.27)	0.0 (0.0)	0.53 (0.07)	0.61 (0.3)	0.0 (0.0)	0.51 (0.11)	0.44 (0.21)	0.0 (0.0)	0.56 (0.07)	0.69 (0.3)	0.2 (0.45)	0.51 (0.16)	0.52 (0.3)	0.2 (0.45)	0.48 (0.16)	0.52 (0.34)	0.2 (0.45)	0.48 (0.15)	0.45 (0.27)	0.0 (0.0)	0.48 (0.16)	0.52 (0.34)	0.2 (0.45)
all_datasets	embedding_proba__8	0.8 (0.0)	0.8 (0.0)	0.0 (0.0)	0.8 (0.01)	0.8 (0.0)	0.0 (0.0)	0.8 (0.02)	0.8 (0.0)	0.0 (0.0)	0.57 (0.09)	0.7 (0.19)	0.0 (0.0)	0.53 (0.13)	0.53 (0.26)	0.0 (0.0)	0.58 (0.12)	0.7 (0.33)	0.4 (0.55)	0.59 (0.1)	0.61 (0.22)	0.0 (0.0)	0.55 (0.13)	0.63 (0.33)	0.2 (0.45)	0.53 (0.13)	0.63 (0.32)	0.0 (0.0)	0.58 (0.12)	0.7 (0.33)	0.4 (0.55)	0.58 (0.09)	0.64 (0.23)	0.0 (0.0)	0.56 (0.09)	0.64 (0.28)	0.0 (0.0)	0.54 (0.14)	0.45 (0.44)	0.2 (0.45)	0.56 (0.05)	0.53 (0.27)	0.0 (0.0)	0.59 (0.11)	0.74 (0.29)	0.2 (0.45)	0.54 (0.11)	0.5 (0.34)	0.2 (0.45)	0.53 (0.12)	0.66 (0.3)	0.2 (0.45)	0.56 (0.12)	0.65 (0.23)	0.0 (0.0)	0.56 (0.09)	0.58 (0.2)	0.0 (0.0)	0.56 (0.12)	0.65 (0.23)	0.0 (0.0)
all_datasets	embedding_proba__9	0.9 (0.01)	0.9 (0.0)	0.0 (0.0)	0.9 (0.01)	0.9 (0.0)	0.0 (0.0)	0.9 (0.01)	0.9 (0.0)	0.0 (0.0)	0.48 (0.15)	0.38 (0.36)	0.2 (0.45)	0.47 (0.13)	0.32 (0.31)	0.0 (0.0)	0.44 (0.12)	0.31 (0.17)	0.0 (0.0)	0.51 (0.12)	0.51 (0.31)	0.2 (0.45)	0.42 (0.11)	0.24 (0.14)	0.0 (0.0)	0.46 (0.16)	0.38 (0.28)	0.0 (0.0)	0.44 (0.12)	0.31 (0.17)	0.0 (0.0)	0.5 (0.1)	0.45 (0.18)	0.0 (0.0)	0.44 (0.11)	0.3 (0.15)	0.0 (0.0)	0.49 (0.11)	0.43 (0.33)	0.0 (0.0)	0.49 (0.13)	0.4 (0.36)	0.0 (0.0)	0.49 (0.08)	0.37 (0.15)	0.0 (0.0)	0.41 (0.1)	0.25 (0.28)	0.0 (0.0)	0.45 (0.15)	0.37 (0.29)	0.0 (0.0)	0.45 (0.15)	0.36 (0.33)	0.0 (0.0)	0.49 (0.12)	0.51 (0.28)	0.2 (0.45)	0.45 (0.15)	0.36 (0.33)	0.0 (0.0)
