fold	level	tn	fp	fn	tp
0	0	2441	9	200	24
0	1	2432	18	189	35
0	2	2430	20	184	40
0	3	2429	21	180	44
0	4	2427	23	176	48
0	5	2425	25	174	50
0	6	2425	25	172	52
0	7	2424	26	170	54
0	8	2423	27	167	57
0	9	2422	28	167	57
1	0	2439	11	203	20
1	1	2436	14	189	34
1	2	2431	19	184	39
1	3	2427	23	178	45
1	4	2427	23	174	49
1	5	2424	26	173	50
1	6	2424	26	173	50
1	7	2421	29	173	50
1	8	2420	30	173	50
1	9	2418	32	173	50
2	0	2433	17	198	25
2	1	2422	28	192	31
2	2	2418	32	186	37
2	3	2415	35	183	40
2	4	2409	41	181	42
2	5	2403	47	181	42
2	6	2400	50	181	42
2	7	2394	56	181	42
2	8	2392	58	179	44
2	9	2390	60	179	44
3	0	2438	12	194	26
3	1	2432	18	184	36
3	2	2430	20	178	42
3	3	2428	22	177	43
3	4	2425	25	176	44
3	5	2422	28	174	46
3	6	2421	29	174	46
3	7	2419	31	172	48
3	8	2416	34	168	52
3	9	2414	36	165	55
4	0	2435	15	195	23
4	1	2429	21	185	33
4	2	2424	26	178	40
4	3	2419	31	177	41
4	4	2415	35	175	43
4	5	2415	35	174	44
4	6	2414	36	172	46
4	7	2414	36	171	47
4	8	2413	37	171	47
4	9	2412	38	170	48
