dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
Corel5k	embedding	735.35 (32.08)	0.95 (0.11)	0.8 (0.45)	715.99 (34.08)	0.95 (0.11)	0.8 (0.45)	19.36 (2.07)	0.9 (0.14)	0.6 (0.55)	0.0 (0.0)	0.4 (0.22)	0.0 (0.0)	0.0 (0.0)	0.3 (0.11)	0.0 (0.0)	0.0 (0.0)	0.25 (0.0)	0.0 (0.0)	0.0 (0.0)	0.25 (0.0)	0.0 (0.0)	0.0 (0.0)	0.3 (0.11)	0.0 (0.0)	0.0 (0.0)	0.3 (0.11)	0.0 (0.0)	0.0 (0.0)	0.25 (0.0)	0.0 (0.0)	0.0 (0.0)	0.3 (0.11)	0.0 (0.0)	0.0 (0.0)	0.3 (0.11)	0.0 (0.0)	0.02 (0.01)	0.4 (0.14)	0.0 (0.0)	0.65 (0.34)	0.95 (0.11)	0.8 (0.45)	0.0 (0.0)	0.3 (0.11)	0.0 (0.0)	0.06 (0.01)	0.35 (0.14)	0.0 (0.0)	0.0 (0.0)	0.25 (0.0)	0.0 (0.0)	0.0 (0.0)	0.25 (0.0)	0.0 (0.0)	0.0 (0.0)	0.25 (0.0)	0.0 (0.0)	0.0 (0.0)	0.25 (0.0)	0.0 (0.0)
Corel5k	embedding_weak	692.3 (43.12)	0.8 (0.11)	0.2 (0.45)	673.09 (45.45)	0.8 (0.11)	0.2 (0.45)	19.21 (2.5)	0.85 (0.14)	0.4 (0.55)	0.0 (0.0)	0.5 (0.25)	0.0 (0.0)	0.01 (0.01)	0.45 (0.11)	0.0 (0.0)	0.01 (0.01)	0.5 (0.0)	0.0 (0.0)	0.01 (0.0)	0.5 (0.0)	0.0 (0.0)	0.01 (0.01)	0.45 (0.11)	0.0 (0.0)	0.0 (0.0)	0.45 (0.11)	0.0 (0.0)	0.01 (0.0)	0.5 (0.0)	0.0 (0.0)	0.0 (0.0)	0.45 (0.11)	0.0 (0.0)	0.01 (0.0)	0.45 (0.11)	0.0 (0.0)	0.01 (0.01)	0.35 (0.14)	0.0 (0.0)	0.05 (0.03)	0.3 (0.11)	0.0 (0.0)	0.01 (0.0)	0.45 (0.11)	0.0 (0.0)	0.06 (0.03)	0.4 (0.14)	0.0 (0.0)	0.01 (0.01)	0.55 (0.11)	0.0 (0.0)	0.01 (0.01)	0.5 (0.0)	0.0 (0.0)	0.01 (0.01)	0.5 (0.0)	0.0 (0.0)	0.01 (0.01)	0.5 (0.0)	0.0 (0.0)
Corel5k	proba	78.58 (6.86)	0.25 (0.0)	0.0 (0.0)	73.22 (6.72)	0.25 (0.0)	0.0 (0.0)	5.36 (0.21)	0.25 (0.0)	0.0 (0.0)	0.01 (0.0)	1.0 (0.0)	1.0 (0.0)	0.03 (0.0)	0.75 (0.0)	0.0 (0.0)	0.17 (0.01)	1.0 (0.0)	1.0 (0.0)	0.15 (0.01)	1.0 (0.0)	1.0 (0.0)	0.13 (0.01)	0.75 (0.0)	0.0 (0.0)	0.02 (0.0)	0.75 (0.0)	0.0 (0.0)	0.09 (0.01)	1.0 (0.0)	1.0 (0.0)	0.1 (0.01)	1.0 (0.0)	1.0 (0.0)	0.08 (0.01)	0.75 (0.0)	0.0 (0.0)	0.08 (0.01)	1.0 (0.0)	1.0 (0.0)	0.39 (0.01)	0.8 (0.11)	0.2 (0.45)	0.27 (0.02)	1.0 (0.0)	1.0 (0.0)	0.24 (0.02)	1.0 (0.0)	1.0 (0.0)	0.02 (0.0)	0.7 (0.11)	0.0 (0.0)	0.11 (0.01)	0.75 (0.0)	0.0 (0.0)	0.11 (0.01)	0.75 (0.0)	0.0 (0.0)	0.11 (0.01)	0.75 (0.0)	0.0 (0.0)
Corel5k	proba_weak	177.36 (8.19)	0.5 (0.0)	0.0 (0.0)	171.54 (8.38)	0.5 (0.0)	0.0 (0.0)	5.83 (0.34)	0.5 (0.0)	0.0 (0.0)	0.0 (0.0)	0.6 (0.14)	0.0 (0.0)	0.07 (0.01)	1.0 (0.0)	1.0 (0.0)	0.1 (0.01)	0.75 (0.0)	0.0 (0.0)	0.1 (0.0)	0.75 (0.0)	0.0 (0.0)	0.17 (0.01)	1.0 (0.0)	1.0 (0.0)	0.04 (0.0)	1.0 (0.0)	1.0 (0.0)	0.05 (0.0)	0.75 (0.0)	0.0 (0.0)	0.06 (0.0)	0.75 (0.0)	0.0 (0.0)	0.1 (0.0)	1.0 (0.0)	1.0 (0.0)	0.06 (0.0)	0.75 (0.0)	0.0 (0.0)	0.06 (0.0)	0.45 (0.11)	0.0 (0.0)	0.13 (0.01)	0.75 (0.0)	0.0 (0.0)	0.18 (0.01)	0.75 (0.0)	0.0 (0.0)	0.18 (0.01)	1.0 (0.0)	1.0 (0.0)	0.22 (0.01)	1.0 (0.0)	1.0 (0.0)	0.21 (0.01)	1.0 (0.0)	1.0 (0.0)	0.22 (0.01)	1.0 (0.0)	1.0 (0.0)
all_datasets	embedding	0.8 (0.08)	0.79 (0.1)	0.17 (0.39)	0.81 (0.07)	0.79 (0.1)	0.17 (0.39)	0.9 (0.04)	0.96 (0.1)	0.83 (0.39)	0.49 (0.27)	0.49 (0.3)	0.17 (0.39)	0.32 (0.08)	0.31 (0.11)	0.0 (0.0)	0.41 (0.23)	0.38 (0.25)	0.08 (0.29)	0.38 (0.2)	0.38 (0.23)	0.08 (0.29)	0.31 (0.08)	0.29 (0.1)	0.0 (0.0)	0.33 (0.09)	0.31 (0.11)	0.0 (0.0)	0.41 (0.23)	0.38 (0.25)	0.08 (0.29)	0.4 (0.21)	0.39 (0.25)	0.08 (0.29)	0.34 (0.1)	0.33 (0.12)	0.0 (0.0)	0.6 (0.24)	0.61 (0.3)	0.25 (0.45)	<b>0.88 (0.13)</b>	<b>0.88 (0.2)</b>	<b>0.67 (0.49)</b>	0.45 (0.25)	0.46 (0.28)	0.08 (0.29)	0.63 (0.23)	0.6 (0.31)	0.33 (0.49)	0.32 (0.09)	0.32 (0.11)	0.0 (0.0)	0.32 (0.08)	0.3 (0.1)	0.0 (0.0)	0.33 (0.1)	0.35 (0.13)	0.0 (0.0)	0.32 (0.08)	0.3 (0.1)	0.0 (0.0)
all_datasets	embedding_weak	0.95 (0.08)	0.96 (0.1)	0.83 (0.39)	0.94 (0.07)	0.96 (0.1)	0.83 (0.39)	0.8 (0.18)	0.75 (0.18)	0.17 (0.39)	0.47 (0.14)	0.47 (0.2)	0.08 (0.29)	0.54 (0.19)	0.52 (0.17)	0.0 (0.0)	0.49 (0.14)	0.52 (0.2)	0.08 (0.29)	0.54 (0.15)	0.52 (0.2)	0.08 (0.29)	0.57 (0.19)	0.6 (0.25)	0.25 (0.45)	0.54 (0.2)	0.56 (0.24)	0.17 (0.39)	0.49 (0.14)	0.52 (0.2)	0.08 (0.29)	0.51 (0.14)	0.52 (0.2)	0.08 (0.29)	0.55 (0.19)	0.54 (0.21)	0.08 (0.29)	0.47 (0.17)	0.42 (0.22)	0.0 (0.0)	0.58 (0.26)	0.55 (0.29)	0.08 (0.29)	0.5 (0.14)	0.51 (0.19)	0.08 (0.29)	0.51 (0.2)	0.52 (0.23)	0.08 (0.29)	0.59 (0.21)	0.58 (0.25)	0.17 (0.39)	0.59 (0.2)	0.6 (0.23)	0.17 (0.39)	0.59 (0.2)	0.59 (0.26)	0.17 (0.39)	0.59 (0.2)	0.6 (0.23)	0.17 (0.39)
all_datasets	proba	<b>0.25 (0.0)</b>	<b>0.25 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.25 (0.0)</b>	<b>0.25 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.4 (0.09)</b>	<b>0.4 (0.13)</b>	<b>0.0 (0.0)</b>	<b>0.84 (0.18)</b>	<b>0.88 (0.25)</b>	<b>0.75 (0.45)</b>	0.71 (0.17)	0.7 (0.2)	0.08 (0.29)	<b>0.88 (0.16)</b>	<b>0.85 (0.2)</b>	<b>0.58 (0.51)</b>	<b>0.81 (0.22)</b>	<b>0.81 (0.28)</b>	<b>0.58 (0.51)</b>	0.71 (0.18)	0.69 (0.19)	0.08 (0.29)	0.71 (0.18)	0.69 (0.19)	0.08 (0.29)	<b>0.88 (0.16)</b>	<b>0.85 (0.2)</b>	<b>0.58 (0.51)</b>	<b>0.84 (0.2)</b>	<b>0.84 (0.27)</b>	<b>0.67 (0.49)</b>	0.71 (0.2)	0.67 (0.22)	0.08 (0.29)	<b>0.79 (0.17)</b>	<b>0.8 (0.24)</b>	<b>0.42 (0.51)</b>	0.66 (0.18)	0.66 (0.21)	0.08 (0.29)	<b>0.86 (0.19)</b>	<b>0.86 (0.25)</b>	<b>0.67 (0.49)</b>	0.76 (0.17)	0.77 (0.23)	0.33 (0.49)	0.67 (0.19)	0.68 (0.23)	0.17 (0.39)	0.68 (0.18)	0.67 (0.22)	0.08 (0.29)	0.67 (0.2)	0.64 (0.26)	0.08 (0.29)	0.68 (0.18)	0.67 (0.22)	0.08 (0.29)
all_datasets	proba_weak	0.5 (0.0)	0.5 (0.0)	0.0 (0.0)	0.5 (0.0)	0.5 (0.0)	0.0 (0.0)	<b>0.39 (0.1)</b>	<b>0.4 (0.17)</b>	<b>0.0 (0.0)</b>	0.69 (0.17)	0.67 (0.16)	0.0 (0.0)	<b>0.92 (0.09)</b>	<b>0.97 (0.08)</b>	<b>0.83 (0.39)</b>	0.72 (0.14)	0.75 (0.21)	0.25 (0.45)	<b>0.77 (0.09)</b>	<b>0.79 (0.14)</b>	<b>0.25 (0.45)</b>	<b>0.91 (0.1)</b>	<b>0.92 (0.12)</b>	<b>0.67 (0.49)</b>	<b>0.92 (0.09)</b>	<b>0.94 (0.11)</b>	<b>0.75 (0.45)</b>	0.72 (0.14)	0.75 (0.21)	0.25 (0.45)	0.75 (0.09)	0.75 (0.11)	0.08 (0.29)	<b>0.9 (0.1)</b>	<b>0.96 (0.1)</b>	<b>0.83 (0.39)</b>	0.65 (0.19)	0.67 (0.24)	0.17 (0.39)	0.38 (0.16)	0.42 (0.22)	0.08 (0.29)	0.68 (0.17)	0.67 (0.22)	0.08 (0.29)	0.6 (0.22)	0.6 (0.31)	0.25 (0.45)	<b>0.91 (0.11)</b>	<b>0.92 (0.12)</b>	<b>0.67 (0.49)</b>	<b>0.91 (0.11)</b>	<b>0.93 (0.11)</b>	<b>0.67 (0.49)</b>	<b>0.91 (0.1)</b>	<b>0.92 (0.11)</b>	<b>0.58 (0.51)</b>	<b>0.91 (0.11)</b>	<b>0.93 (0.11)</b>	<b>0.67 (0.49)</b>
birds	embedding	39.8 (0.54)	0.75 (0.0)	0.0 (0.0)	36.4 (0.56)	0.75 (0.0)	0.0 (0.0)	3.41 (0.2)	0.9 (0.14)	0.6 (0.55)	0.52 (0.03)	0.68 (0.11)	0.0 (0.0)	0.11 (0.04)	0.25 (0.0)	0.0 (0.0)	0.18 (0.07)	0.25 (0.0)	0.0 (0.0)	0.06 (0.02)	0.25 (0.0)	0.0 (0.0)	0.15 (0.05)	0.25 (0.0)	0.0 (0.0)	0.07 (0.03)	0.25 (0.0)	0.0 (0.0)	0.1 (0.04)	0.25 (0.0)	0.0 (0.0)	0.06 (0.02)	0.25 (0.0)	0.0 (0.0)	0.1 (0.04)	0.25 (0.0)	0.0 (0.0)	0.29 (0.13)	0.35 (0.14)	0.0 (0.0)	0.96 (0.06)	1.0 (0.0)	1.0 (0.0)	0.08 (0.03)	0.25 (0.0)	0.0 (0.0)	0.38 (0.14)	0.4 (0.22)	0.0 (0.0)	0.07 (0.03)	0.25 (0.0)	0.0 (0.0)	0.1 (0.04)	0.25 (0.0)	0.0 (0.0)	0.06 (0.02)	0.25 (0.0)	0.0 (0.0)	0.1 (0.04)	0.25 (0.0)	0.0 (0.0)
birds	embedding_weak	47.19 (0.79)	1.0 (0.0)	1.0 (0.0)	43.86 (0.8)	1.0 (0.0)	1.0 (0.0)	3.33 (0.12)	0.85 (0.14)	0.4 (0.55)	0.47 (0.04)	0.32 (0.17)	0.0 (0.0)	0.32 (0.02)	0.75 (0.18)	0.2 (0.45)	0.37 (0.02)	0.5 (0.0)	0.0 (0.0)	0.14 (0.02)	0.6 (0.14)	0.0 (0.0)	0.38 (0.01)	0.6 (0.14)	0.0 (0.0)	0.2 (0.01)	0.6 (0.14)	0.0 (0.0)	0.23 (0.01)	0.5 (0.0)	0.0 (0.0)	0.11 (0.02)	0.55 (0.11)	0.0 (0.0)	0.26 (0.01)	0.6 (0.14)	0.0 (0.0)	0.34 (0.05)	0.45 (0.21)	0.0 (0.0)	0.34 (0.04)	0.25 (0.0)	0.0 (0.0)	0.13 (0.02)	0.5 (0.0)	0.0 (0.0)	0.42 (0.05)	0.4 (0.14)	0.0 (0.0)	0.37 (0.02)	1.0 (0.0)	1.0 (0.0)	0.41 (0.02)	0.9 (0.14)	0.6 (0.55)	0.19 (0.03)	0.85 (0.22)	0.6 (0.55)	0.41 (0.02)	0.9 (0.14)	0.6 (0.55)
