active	cv.call	cv.fold	cv.params.cv	cv.params.n_jobs	cv.params.return_estimator	cv.params.return_train_score	cv.params.scoring	cv.params.verbose	dataset.call	dataset.name	dataset.params.path	directory	end	estimator.call	estimator.name	hash	path	results.fit_time	results.score_time	results.test_accuracy	results.test_f1_macro	results.test_f1_micro	results.test_f1_samples	results.test_f1_weighted	results.test_jaccard_macro	results.test_jaccard_micro	results.test_jaccard_samples	results.test_jaccard_weighted	results.test_precision_macro	results.test_precision_micro	results.test_precision_samples	results.test_precision_weighted	results.test_recall_macro	results.test_recall_micro	results.test_recall_samples	results.test_recall_weighted	start	results.fit_score_time
True	sklearn.model_selection.cross_validate	0	"IterativeStratification(n_splits=5, order=1, random_state=None,
            sample_distribution_per_fold=None)"	5	False	False	['f1_macro', 'f1_micro', 'f1_weighted', 'f1_samples', 'precision_macro', 'precision_micro', 'precision_weighted', 'precision_samples', 'recall_macro', 'recall_micro', 'recall_weighted', 'recall_samples', 'jaccard_macro', 'jaccard_micro', 'jaccard_weighted', 'jaccard_samples', 'accuracy']	10	data_loaders.load_nakano	Gram_positive	nakano_datasets/datasets/MLC/Gram_positive.csv	nakano_datasets/runs	2023-10-20 00:11:54.686948	proba_vs_embedding.estimators.cascade_tree_embedder	embedding__5	006987ca044ead0d4b909bf38a043758325c952070a0841d41e811a0ac8da15d	/home/pedro/mestrado/biomal_repo/scripts/cascade_forests/experiments/nakano_datasets/runs/006987c_20231020T001140646406_embedding__5_Gram_positive.yml	11.5250084400177	1.4668281078338623	0.8932038834951457	0.697166149068323	0.9207920792079209	0.8996763754045306	0.9031279861442905	0.6544715447154471	0.8532110091743119	0.8980582524271845	0.8549679487179487	0.7044642857142858	0.9489795918367347	0.9029126213592233	0.9128090659340659	0.6904519368723099	0.8942307692307693	0.8980582524271845	0.8942307692307693	2023-10-20 00:11:40.646406	12.991836547851562
True	sklearn.model_selection.cross_validate	1	"IterativeStratification(n_splits=5, order=1, random_state=None,
            sample_distribution_per_fold=None)"	5	False	False	['f1_macro', 'f1_micro', 'f1_weighted', 'f1_samples', 'precision_macro', 'precision_micro', 'precision_weighted', 'precision_samples', 'recall_macro', 'recall_micro', 'recall_weighted', 'recall_samples', 'jaccard_macro', 'jaccard_micro', 'jaccard_weighted', 'jaccard_samples', 'accuracy']	10	data_loaders.load_nakano	Gram_positive	nakano_datasets/datasets/MLC/Gram_positive.csv	nakano_datasets/runs	2023-10-20 00:11:54.686948	proba_vs_embedding.estimators.cascade_tree_embedder	embedding__5	006987ca044ead0d4b909bf38a043758325c952070a0841d41e811a0ac8da15d	/home/pedro/mestrado/biomal_repo/scripts/cascade_forests/experiments/nakano_datasets/runs/006987c_20231020T001140646406_embedding__5_Gram_positive.yml	12.262545347213745	1.2985835075378418	0.9142857142857143	0.7991905289723473	0.9320388349514563	0.9142857142857143	0.9228928247774266	0.721462533962534	0.8727272727272727	0.9142857142857143	0.8733760971856209	0.9574314574314574	0.9504950495049505	0.9142857142857143	0.9505394076822649	0.7553571428571428	0.9142857142857143	0.9142857142857143	0.9142857142857143	2023-10-20 00:11:40.646406	13.561128854751587
True	sklearn.model_selection.cross_validate	2	"IterativeStratification(n_splits=5, order=1, random_state=None,
            sample_distribution_per_fold=None)"	5	False	False	['f1_macro', 'f1_micro', 'f1_weighted', 'f1_samples', 'precision_macro', 'precision_micro', 'precision_weighted', 'precision_samples', 'recall_macro', 'recall_micro', 'recall_weighted', 'recall_samples', 'jaccard_macro', 'jaccard_micro', 'jaccard_weighted', 'jaccard_samples', 'accuracy']	10	data_loaders.load_nakano	Gram_positive	nakano_datasets/datasets/MLC/Gram_positive.csv	nakano_datasets/runs	2023-10-20 00:11:54.686948	proba_vs_embedding.estimators.cascade_tree_embedder	embedding__5	006987ca044ead0d4b909bf38a043758325c952070a0841d41e811a0ac8da15d	/home/pedro/mestrado/biomal_repo/scripts/cascade_forests/experiments/nakano_datasets/runs/006987c_20231020T001140646406_embedding__5_Gram_positive.yml	12.18432331085205	1.296004056930542	0.9134615384615384	0.9080870159008877	0.9504950495049506	0.9198717948717949	0.9481994323434183	0.839424141749723	0.9056603773584906	0.9182692307692307	0.9049833887043189	0.9941860465116279	0.9896907216494846	0.9230769230769231	0.9906976744186046	0.8452380952380951	0.9142857142857143	0.9182692307692307	0.9142857142857143	2023-10-20 00:11:40.646406	13.480327367782593
True	sklearn.model_selection.cross_validate	3	"IterativeStratification(n_splits=5, order=1, random_state=None,
            sample_distribution_per_fold=None)"	5	False	False	['f1_macro', 'f1_micro', 'f1_weighted', 'f1_samples', 'precision_macro', 'precision_micro', 'precision_weighted', 'precision_samples', 'recall_macro', 'recall_micro', 'recall_weighted', 'recall_samples', 'jaccard_macro', 'jaccard_micro', 'jaccard_weighted', 'jaccard_samples', 'accuracy']	10	data_loaders.load_nakano	Gram_positive	nakano_datasets/datasets/MLC/Gram_positive.csv	nakano_datasets/runs	2023-10-20 00:11:54.686948	proba_vs_embedding.estimators.cascade_tree_embedder	embedding__5	006987ca044ead0d4b909bf38a043758325c952070a0841d41e811a0ac8da15d	/home/pedro/mestrado/biomal_repo/scripts/cascade_forests/experiments/nakano_datasets/runs/006987c_20231020T001140646406_embedding__5_Gram_positive.yml	12.33161473274231	1.2227532863616943	0.9411764705882353	0.7280586409524522	0.9607843137254902	0.9542483660130718	0.9472821324202001	0.708058608058608	0.9245283018867925	0.9509803921568627	0.9252958579881656	0.73	0.98	0.9607843137254902	0.9526923076923077	0.7264880952380952	0.9423076923076923	0.9509803921568627	0.9423076923076923	2023-10-20 00:11:40.646406	13.554368019104004
True	sklearn.model_selection.cross_validate	4	"IterativeStratification(n_splits=5, order=1, random_state=None,
            sample_distribution_per_fold=None)"	5	False	False	['f1_macro', 'f1_micro', 'f1_weighted', 'f1_samples', 'precision_macro', 'precision_micro', 'precision_weighted', 'precision_samples', 'recall_macro', 'recall_micro', 'recall_weighted', 'recall_samples', 'jaccard_macro', 'jaccard_micro', 'jaccard_weighted', 'jaccard_samples', 'accuracy']	10	data_loaders.load_nakano	Gram_positive	nakano_datasets/datasets/MLC/Gram_positive.csv	nakano_datasets/runs	2023-10-20 00:11:54.686948	proba_vs_embedding.estimators.cascade_tree_embedder	embedding__5	006987ca044ead0d4b909bf38a043758325c952070a0841d41e811a0ac8da15d	/home/pedro/mestrado/biomal_repo/scripts/cascade_forests/experiments/nakano_datasets/runs/006987c_20231020T001140646406_embedding__5_Gram_positive.yml	12.674745798110962	1.191345453262329	0.9047619047619048	0.7915113871635612	0.9178743961352657	0.9047619047619048	0.9109494232475598	0.7064393939393939	0.8482142857142857	0.9047619047619048	0.8501443001443	0.9407422969187675	0.9313725490196079	0.9047619047619048	0.9345770308123249	0.7550595238095238	0.9047619047619048	0.9047619047619048	0.9047619047619048	2023-10-20 00:11:40.646406	13.866091251373291
True	sklearn.model_selection.cross_validate	0	"IterativeStratification(n_splits=5, order=1, random_state=None,
            sample_distribution_per_fold=None)"	5	False	False	['f1_macro', 'f1_micro', 'f1_weighted', 'f1_samples', 'precision_macro', 'precision_micro', 'precision_weighted', 'precision_samples', 'recall_macro', 'recall_micro', 'recall_weighted', 'recall_samples', 'jaccard_macro', 'jaccard_micro', 'jaccard_weighted', 'jaccard_samples', 'accuracy']	10	data_loaders.load_nakano	VirusPseAAC	nakano_datasets/datasets/MLC/VirusPseAAC.csv	nakano_datasets/runs	2023-10-19 23:56:12.337178	proba_vs_embedding.estimators.cascade_proba	proba__2	00c298360816cd0791af81177d87f95914ad314f24160e5b759d053ab53b3e51	/home/pedro/mestrado/biomal_repo/scripts/cascade_forests/experiments/nakano_datasets/runs/00c2983_20231019T235608806444_proba__2_VirusPseAAC.yml	2.784820556640625	0.4697897434234619	0.04878048780487805	0.1537037037037037	0.18181818181818182	0.11382113821138212	0.16153846153846155	0.0949074074074074	0.1	0.0975609756097561	0.0924145299145299	0.25	0.42857142857142855	0.14634146341463414	0.35256410256410253	0.13071895424836602	0.11538461538461539	0.0975609756097561	0.11538461538461539	2023-10-19 23:56:08.806444	3.254610300064087
True	sklearn.model_selection.cross_validate	1	"IterativeStratification(n_splits=5, order=1, random_state=None,
            sample_distribution_per_fold=None)"	5	False	False	['f1_macro', 'f1_micro', 'f1_weighted', 'f1_samples', 'precision_macro', 'precision_micro', 'precision_weighted', 'precision_samples', 'recall_macro', 'recall_micro', 'recall_weighted', 'recall_samples', 'jaccard_macro', 'jaccard_micro', 'jaccard_weighted', 'jaccard_samples', 'accuracy']	10	data_loaders.load_nakano	VirusPseAAC	nakano_datasets/datasets/MLC/VirusPseAAC.csv	nakano_datasets/runs	2023-10-19 23:56:12.337178	proba_vs_embedding.estimators.cascade_proba	proba__2	00c298360816cd0791af81177d87f95914ad314f24160e5b759d053ab53b3e51	/home/pedro/mestrado/biomal_repo/scripts/cascade_forests/experiments/nakano_datasets/runs/00c2983_20231019T235608806444_proba__2_VirusPseAAC.yml	3.0241551399230957	0.45796918869018555	0.14634146341463414	0.09294871794871795	0.21212121212121213	0.16260162601626016	0.1896153846153846	0.05411255411255411	0.11864406779661017	0.15853658536585366	0.11038961038961037	0.1455026455026455	0.4375	0.17073170731707318	0.2968253968253968	0.06862745098039215	0.14	0.15853658536585366	0.14	2023-10-19 23:56:08.806444	3.4821243286132812
True	sklearn.model_selection.cross_validate	2	"IterativeStratification(n_splits=5, order=1, random_state=None,
            sample_distribution_per_fold=None)"	5	False	False	['f1_macro', 'f1_micro', 'f1_weighted', 'f1_samples', 'precision_macro', 'precision_micro', 'precision_weighted', 'precision_samples', 'recall_macro', 'recall_micro', 'recall_weighted', 'recall_samples', 'jaccard_macro', 'jaccard_micro', 'jaccard_weighted', 'jaccard_samples', 'accuracy']	10	data_loaders.load_nakano	VirusPseAAC	nakano_datasets/datasets/MLC/VirusPseAAC.csv	nakano_datasets/runs	2023-10-19 23:56:12.337178	proba_vs_embedding.estimators.cascade_proba	proba__2	00c298360816cd0791af81177d87f95914ad314f24160e5b759d053ab53b3e51	/home/pedro/mestrado/biomal_repo/scripts/cascade_forests/experiments/nakano_datasets/runs/00c2983_20231019T235608806444_proba__2_VirusPseAAC.yml	2.786677360534668	0.4595949649810791	0.05128205128205128	0.03518518518518519	0.07142857142857142	0.05128205128205128	0.07097505668934241	0.018575851393188854	0.037037037037037035	0.05128205128205128	0.03746761862639793	0.13888888888888887	0.2857142857142857	0.05128205128205128	0.2789115646258503	0.02022058823529412	0.04081632653061224	0.05128205128205128	0.04081632653061224	2023-10-19 23:56:08.806444	3.246272325515747
True	sklearn.model_selection.cross_validate	3	"IterativeStratification(n_splits=5, order=1, random_state=None,
            sample_distribution_per_fold=None)"	5	False	False	['f1_macro', 'f1_micro', 'f1_weighted', 'f1_samples', 'precision_macro', 'precision_micro', 'precision_weighted', 'precision_samples', 'recall_macro', 'recall_micro', 'recall_weighted', 'recall_samples', 'jaccard_macro', 'jaccard_micro', 'jaccard_weighted', 'jaccard_samples', 'accuracy']	10	data_loaders.load_nakano	VirusPseAAC	nakano_datasets/datasets/MLC/VirusPseAAC.csv	nakano_datasets/runs	2023-10-19 23:56:12.337178	proba_vs_embedding.estimators.cascade_proba	proba__2	00c298360816cd0791af81177d87f95914ad314f24160e5b759d053ab53b3e51	/home/pedro/mestrado/biomal_repo/scripts/cascade_forests/experiments/nakano_datasets/runs/00c2983_20231019T235608806444_proba__2_VirusPseAAC.yml	2.77974009513855	0.45327305793762207	0.09302325581395349	0.07925407925407925	0.1875	0.12015503875968991	0.16937062937062936	0.047619047619047616	0.10344827586206896	0.11240310077519379	0.1019047619047619	0.13749999999999998	0.42857142857142855	0.13953488372093023	0.293	0.05610021786492375	0.12	0.11240310077519379	0.12	2023-10-19 23:56:08.806444	3.233013153076172
True	sklearn.model_selection.cross_validate	4	"IterativeStratification(n_splits=5, order=1, random_state=None,
            sample_distribution_per_fold=None)"	5	False	False	['f1_macro', 'f1_micro', 'f1_weighted', 'f1_samples', 'precision_macro', 'precision_micro', 'precision_weighted', 'precision_samples', 'recall_macro', 'recall_micro', 'recall_weighted', 'recall_samples', 'jaccard_macro', 'jaccard_micro', 'jaccard_weighted', 'jaccard_samples', 'accuracy']	10	data_loaders.load_nakano	VirusPseAAC	nakano_datasets/datasets/MLC/VirusPseAAC.csv	nakano_datasets/runs	2023-10-19 23:56:12.337178	proba_vs_embedding.estimators.cascade_proba	proba__2	00c298360816cd0791af81177d87f95914ad314f24160e5b759d053ab53b3e51	/home/pedro/mestrado/biomal_repo/scripts/cascade_forests/experiments/nakano_datasets/runs/00c2983_20231019T235608806444_proba__2_VirusPseAAC.yml	2.78230357170105	0.46441102027893066	0.09302325581395349	0.07660455486542443	0.17647058823529413	0.12403100775193798	0.15320910973084886	0.04365079365079364	0.0967741935483871	0.11627906976744186	0.08730158730158731	0.11616161616161617	0.35294117647058826	0.13953488372093023	0.23232323232323232	0.0588235294117647	0.11764705882352941	0.11627906976744186	0.11764705882352941	2023-10-19 23:56:08.806444	3.2467145919799805
