fold	level	tn	fp	fn	tp
0	0	2442	8	201	23
0	1	2436	14	194	30
0	2	2431	19	186	38
0	3	2430	20	182	42
0	4	2428	22	178	46
0	5	2425	25	175	49
0	6	2423	27	174	50
0	7	2421	29	174	50
0	8	2421	29	173	51
0	9	2418	32	173	51
1	0	2439	11	201	22
1	1	2431	19	192	31
1	2	2424	26	189	34
1	3	2423	27	188	35
1	4	2421	29	183	40
1	5	2421	29	181	42
1	6	2419	31	179	44
1	7	2417	33	179	44
1	8	2415	35	179	44
1	9	2414	36	175	48
2	0	2434	16	199	24
2	1	2430	20	190	33
2	2	2423	27	183	40
2	3	2415	35	181	42
2	4	2410	40	181	42
2	5	2406	44	180	43
2	6	2403	47	180	43
2	7	2399	51	180	43
2	8	2397	53	179	44
2	9	2395	55	176	47
3	0	2436	14	196	24
3	1	2433	17	186	34
3	2	2431	19	179	41
3	3	2427	23	177	43
3	4	2424	26	175	45
3	5	2422	28	172	48
3	6	2420	30	168	52
3	7	2420	30	166	54
3	8	2417	33	164	56
3	9	2416	34	164	56
4	0	2432	18	194	24
4	1	2424	26	187	31
4	2	2420	30	180	38
4	3	2415	35	180	38
4	4	2411	39	178	40
4	5	2411	39	178	40
4	6	2410	40	177	41
4	7	2409	41	176	42
4	8	2409	41	174	44
4	9	2405	45	172	46
